Class Number,Class Name,Unique Number,Division,Days,Time,Location,Instructor,Flags,Core,Description
PGE,427 PROPERTIES OF PETROLEUM FLUIDS,20160,Upper,MWF,12:00 p.m.-1:00 p.m.,JGB 2.216,"OKUNO, RYOSUKE",,,
PGE,427 PROPERTIES OF PETROLEUM FLUIDS,20165,Upper,MWF,12:00 p.m.-1:00 p.m.,JGB 2.216,"OKUNO, RYOSUKE",,,
PGE,427 PROPERTIES OF PETROLEUM FLUIDS,20169,Upper,MWF,12:00 p.m.-1:00 p.m.,JGB 2.216,"OKUNO, RYOSUKE",,,
PGE,333T ENGINEERING COMMUNICATION,20170,Upper,MF,2:00 p.m.-3:30 p.m.,CPE 2.202,"HAYNES, BYRON JR",Writing Ethics,,
PGE,333T ENGINEERING COMMUNICATION,20175,Upper,MF,3:30 p.m.-5:00 p.m.,CPE 2.202,"HAYNES, BYRON JR",Writing Ethics,,
PGE,333T ENGINEERING COMMUNICATION-ITA,20177,Upper,,,,"DEMONT, BRANDI L",,,
PGE,333T ENGINEERING COMMUNICATION-FRA,20178,Upper,,,,"MOORE, CHRISTY",,,
PGE,333T ENGINEERING COMMUNICATION-GBR,20179,Upper,,,,"RANDALL, D'ARCY C",,,
PGE,338 GEOSTATISTICS/DATA ANALYSIS,20180,Upper,MWF,11:00 a.m.-12:00 p.m.,CPE 2.204,"TANG, HEWEI",,,
PGE,358 PRINCIPLES FRMTN EVALUATION,20185,Upper,TTH,12:30 p.m.-2:00 p.m.,GLT 5.104,"TORRES-VERDIN, CARLOS",,,
PGE,362 PRODUCTION TECHNOLOGY AND DSGN,20190,Upper,TTH,9:30 a.m.-11:00 a.m.,CPE 2.204,"LU, YINGDA",,,
PGE,363 PETROLEUM LEASING REG AND PRAC,20195,Upper,F,3:00 p.m.-6:00 p.m.,CPE 2.210,"MALIK, KRISHAN A",,,
PGE,371 ENERGY FINANCE,20200,Upper,TH,4:00 p.m.-7:00 p.m.,CPE 2.202,"MALIK, KRISHAN A",,,
PGE,373L GEOSYS ENGR DESIGN AND ANLY,20205,Upper,MWF,9:00 a.m.-10:00 a.m.,CPE 2.210,"LOPEZ MANRIQUEZ, ALBERTO",Independent Inquiry Writing Quantitative Reasoning,,
PGE,373L GEOSYS ENGR DESIGN AND ANLY,20210,Upper,MWF,9:00 a.m.-10:00 a.m.,CPE 2.210,"LOPEZ MANRIQUEZ, ALBERTO",Independent Inquiry Writing Quantitative Reasoning,,
PGE,373L GEOSYS ENGR DESIGN AND ANLY,20215,Upper,MWF,9:00 a.m.-10:00 a.m.,CPE 2.210,"LOPEZ MANRIQUEZ, ALBERTO",Independent Inquiry Writing Quantitative Reasoning,,
PGE,373L GEOSYS ENGR DESIGN AND ANLY,20220,Upper,MWF,9:00 a.m.-10:00 a.m.,CPE 2.210,"LOPEZ MANRIQUEZ, ALBERTO",Independent Inquiry Writing Quantitative Reasoning,,
PGE,373L GEOSYS ENGR DESIGN AND ANLY,20225,Upper,MWF,9:00 a.m.-10:00 a.m.,CPE 2.210,"LOPEZ MANRIQUEZ, ALBERTO",Independent Inquiry Writing Quantitative Reasoning,,
PGE,373L GEOSYS ENGR DESIGN AND ANLY,20230,Upper,MWF,9:00 a.m.-10:00 a.m.,CPE 2.210,"LOPEZ MANRIQUEZ, ALBERTO",Independent Inquiry Writing Quantitative Reasoning,,
PGE,373L GEOSYS ENGR DESIGN AND ANLY,20235,Upper,MWF,9:00 a.m.-10:00 a.m.,CPE 2.210,"LOPEZ MANRIQUEZ, ALBERTO",Independent Inquiry Writing Quantitative Reasoning,,
PGE,373L GEOSYS ENGR DESIGN AND ANLY,20240,Upper,MWF,9:00 a.m.-10:00 a.m.,CPE 2.210,"LOPEZ MANRIQUEZ, ALBERTO",Independent Inquiry Writing Quantitative Reasoning,,
PGE,373L GEOSYS ENGR DESIGN AND ANLY,20244,Upper,MWF,9:00 a.m.-10:00 a.m.,CPE 2.210,"LOPEZ MANRIQUEZ, ALBERTO",Writing Quantitative Reasoning Independent Inquiry,,
PGE,376 SPEC PROB IN PETRO/GEOSYS ENGR,20245,Upper,,,,,,,
PGE,379 FORMTN EVAL UNCNVNTL RSRVRS,20249,Upper,TTH,9:30 a.m.-11:00 a.m.,GLT 1.102,"HEIDARI, ZOYA",,,
PGE,379 SUBSURFACE ENERGY STORAGE,20250,Upper,MW,4:00 p.m.-5:30 p.m.,CPE 2.204,"DELSHAD, MOJDEH",,,
PGE,379 UNCONVENTIONAL RESOURCES DEV,20255,Upper,MWF,10:00 a.m.-11:00 a.m.,CPE 3.159,"LOPEZ MANRIQUEZ, ALBERTO",,,
PGE,379 3-GEOTHRML/SUSTN ENERGY RESRC,20260,Upper,MWF,10:00 a.m.-11:00 a.m.,GLT 1.106,"SONG, WEN",,,
PGE,"379 8-OIL, GAS, AND MINERAL LAW",20265,Upper,MW,4:00 p.m.-5:30 p.m.,CPE 2.210,"SULLIVAN, BRIAN R",,,
PGE,379 13-FUNDMTLS ENHNCD OIL RECVRY,20270,Upper,MWF,2:00 p.m.-3:00 p.m.,CPE 2.220,"LAKE, LARRY W",,,
PGE,379 14-HIGH PERF COMPUTATNL ENGR,20275,Upper,TTH,2:00 p.m.-3:30 p.m.,CPE 3.144A,"FOSTER, JOHN TIMOTHY",,,
PGE,379 22-GLBL CARBON MONITORING SYS,20280,Upper,TTH,12:30 p.m.-2:00 p.m.,CPE 2.210,"RAVIKUMAR, ARVIND P",,,
PGE,679HB UNDERGRADUATE HONORS THESIS,20283,Upper,,,,,,,
PGE,679HA UNDERGRADUATE HONORS THESIS,20284,Upper,,,,,,,
PHL,301 INTRODUCTION TO PHILOSOPHY,41470,Lower,MWF,10:00 a.m.-11:00 a.m.,,,,,
PHL,301 INTRODUCTION TO PHILOSOPHY,41475,Lower,TTH,12:30 p.m.-1:30 p.m.,WAG 302,"SOOD, ANUGYA J",,,
PHL,301 INTRODUCTION TO PHILOSOPHY,41480,Lower,TTH,12:30 p.m.-1:30 p.m.,WAG 302,"SOOD, ANUGYA J",,,
PHL,301 INTRODUCTION TO PHILOSOPHY,41485,Lower,TTH,12:30 p.m.-1:30 p.m.,WAG 302,"SOOD, ANUGYA J",,,
PHL,301K ANCIENT PHILOSOPHY,41490,Lower,TTH,9:30 a.m.-11:00 a.m.,WAG 308,"HANKINSON, ROBERT J",,,
PHL,301L EARLY MODERN PHILOSOPHY,41495,Lower,TTH,2:00 p.m.-3:30 p.m.,WAG 308,"HANKINSON, ROBERT J",,,
PHL,302 WORLD PHILOSOPHY,41500,Lower,TTH,12:30 p.m.-2:00 p.m.,WAG 308,"DRIVER, JULIA L",,,
PHL,303M MIND AND BODY,41505,Lower,TTH,3:30 p.m.-5:00 p.m.,WAG 201,"CANTOR, SAMUEL WOLF",,,
PHL,304 CONTEMPORARY MORAL PROBLEMS,41510,Lower,MWF,9:00 a.m.-10:00 a.m.,WAG 201,"GUO, MINGZHU",Ethics,,
